id,titulo,tipo,genero,ano,rating,duracion,plataforma,idioma,pais,director,clasificacion,votos,presupuesto,ingresos,ganancias,actor_principal,estudio,fecha_estreno,sinopsis
40993,Stranger Code Vol. 2,Serie,Crimen,2000,4.7,51,Apple TV+,Alemán,Francia,Hayao Miyazaki,PG-13,1276128,50.5,51.6,1.1,Scarlett Johansson,Marvel Studios,2000-09-17,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
40994,El precio del servidor Vol. 1,Serie,"Romance, Documental, Fantasía",1980,5.7,45,"Netflix, HBO Max",Alemán,USA,Denis Villeneuve,NC-17,315093,24.1,22.3,-1.8,Brad Pitt,Marvel Studios,1980-03-12,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
40995,El precio del servidor (2011),Película,Romance,2011,4.9,174,"Disney+, Apple TV+",Francés,Francia,Quentin Tarantino,G,2043828,21.0,27.5,6.5,Leonardo DiCaprio,Netflix Studio,2011-03-19,Un análisis profundo del impacto social e histórico de las grandes eras.
40996,El Padrino del código Vol. 3,Película,"Drama, Terror, Fantasía",2005,6.2,184,Netflix,Español,Reino Unido,Christopher Nolan,PG,900640,118.9,45.8,-73.1,Meryl Streep,Marvel Studios,2005-11-13,Una comedia hilarante sobre las complejidades de la vida cotidiana.
40997,La teoría de las bases de datos Vol. 1,Película,Terror,2020,5.9,162,"Apple TV+, Prime Video",Inglés,Canadá,James Cameron,PG,1923007,76.3,294.6,218.3,Morgan Freeman,Columbia Pictures,2020-01-10,Un misterio escalofriante que desvela secretos familiares ocultos.
40998,Búsqueda Binaria (1998),Película,Terror,1998,7.7,121,Prime Video,Inglés,México,Denis Villeneuve,PG-13,2418534,208.8,734.4,525.6,Meryl Streep,Universal Pictures,1998-03-14,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
40999,Pulp Python (1977),Serie,"Drama, Terror, Fantasía",1977,8.6,48,"Disney+, Prime Video",Francés,España,Christopher Nolan,PG-13,97656,70.5,52.9,-17.6,Meryl Streep,Marvel Studios,1977-02-12,Un viaje fantástico a través de dimensiones inexploradas del universo.
41000,Interstellar II Vol. 2,Película,Fantasía,1971,6.4,163,"HBO Max, Prime Video",Portugués,México,Hayao Miyazaki,R,1984490,162.0,402.5,240.5,Morgan Freeman,Paramount Pictures,1971-04-25,Un drama conmovedor que explora los límites de la mente y la tecnología.
41001,El Heatmap del Destino Vol. 4,Película,Crimen,2010,6.4,122,"Prime Video, HBO Max",Portugués,Canadá,Denis Villeneuve,PG-13,281517,173.5,587.4,413.9,Leonardo DiCaprio,Netflix Studio,2010-10-12,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41002,SQL: El Imperio Contraataca (1985),Película,"Suspenso, Drama, Crimen",1985,8.8,133,Netflix,Español,Canadá,Christopher Nolan,R,660912,166.9,220.8,53.9,Matthew McConaughey,Columbia Pictures,1985-09-12,Un análisis profundo del impacto social e histórico de las grandes eras.
41003,FastAPI veloz (2007),Película,Acción,2007,8.3,85,"Apple TV+, Prime Video",Francés,España,Steven Spielberg,PG-13,2000923,112.2,39.3,-72.9,Meryl Streep,Columbia Pictures,2007-02-04,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41004,Parque de Servidores (1994),Serie,"Drama, Terror",1994,6.3,51,Apple TV+,Alemán,Reino Unido,Quentin Tarantino,NC-17,343911,22.1,75.9,53.8,Brad Pitt,Walt Disney Studios,1994-01-27,Un análisis profundo del impacto social e histórico de las grandes eras.
41005,El secreto de los datos (1988),Película,"Fantasía, Romance",1988,9.0,181,Netflix,Alemán,Reino Unido,James Cameron,PG-13,1022198,66.3,86.1,19.8,Cillian Murphy,Walt Disney Studios,1988-04-20,Un drama conmovedor que explora los límites de la mente y la tecnología.
41006,El Resplandor del Monitor (1993),Película,Romance,1993,9.4,192,"Prime Video, Apple TV+",Portugués,Francia,Quentin Tarantino,PG-13,1117664,89.3,89.7,0.4,Natalie Portman,Netflix Studio,1993-01-11,Un viaje fantástico a través de dimensiones inexploradas del universo.
41007,SQL: El Imperio Contraataca (1983),Serie,Romance,1983,6.7,29,"Disney+, Prime Video",Francés,Canadá,Steven Spielberg,NC-17,197178,182.9,172.7,-10.2,Joaquin Phoenix,A24,1983-02-11,Un viaje fantástico a través de dimensiones inexploradas del universo.
41008,SQL: El Imperio Contraataca (1976),Serie,Documental,1976,9.7,57,"Prime Video, Netflix",Inglés,Reino Unido,Hayao Miyazaki,PG-13,1050870,233.0,321.1,88.1,Natalie Portman,Columbia Pictures,1976-08-17,Un análisis profundo del impacto social e histórico de las grandes eras.
41009,En busca del commit perdido Vol. 1,Serie,"Fantasía, Aventura, C.Ficción",1977,5.9,61,"HBO Max, Netflix",Español,Japón,James Cameron,NC-17,197565,221.7,187.9,-33.8,Joaquin Phoenix,Marvel Studios,1977-10-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
41010,Cazadores de código Vol. 4,Serie,Comedia,2014,5.6,35,"Netflix, Prime Video",Francés,Japón,Guillermo del Toro,R,516479,79.9,288.5,208.6,Tom Hanks,Columbia Pictures,2014-11-01,Un drama conmovedor que explora los límites de la mente y la tecnología.
41011,Parque de Servidores Vol. 2,Película,"Drama, Suspenso, Romance",1971,9.4,116,"Disney+, HBO Max",Francés,Reino Unido,Quentin Tarantino,G,124406,125.7,128.1,2.4,Tom Hanks,Marvel Studios,1971-04-28,Un drama conmovedor que explora los límites de la mente y la tecnología.
41012,Donut Chart Adventure (2005),Serie,"Aventura, Acción, Drama",2005,7.6,23,HBO Max,Alemán,Francia,Guillermo del Toro,PG-13,2160154,245.8,996.3,750.5,Tom Hanks,Walt Disney Studios,2005-12-26,Un misterio escalofriante que desvela secretos familiares ocultos.
41013,Cazadores de código Vol. 2,Película,Romance,2001,8.7,118,"Disney+, Netflix",Portugués,Japón,Steven Spielberg,NC-17,2401871,221.0,802.8,581.8,Tom Hanks,A24,2001-02-09,Un drama conmovedor que explora los límites de la mente y la tecnología.
41014,Cazadores de código Vol. 3,Serie,"Crimen, C.Ficción, Suspenso",2005,5.7,52,"Apple TV+, HBO Max",Inglés,Reino Unido,Denis Villeneuve,PG,2292138,126.1,410.8,284.7,Joaquin Phoenix,Columbia Pictures,2005-03-18,Un misterio escalofriante que desvela secretos familiares ocultos.
41015,Los señores del algoritmo Vol. 4,Serie,Comedia,2026,6.3,64,Apple TV+,Portugués,México,Guillermo del Toro,G,917628,44.7,191.4,146.7,Brad Pitt,A24,2026-01-13,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41016,El Club de la Computación Vol. 2,Serie,"Documental, Drama, Fantasía",1975,4.9,27,"Apple TV+, Prime Video",Inglés,Reino Unido,Christopher Nolan,PG,388053,93.3,233.9,140.6,Joaquin Phoenix,Netflix Studio,1975-05-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41017,Pulp Python Vol. 1,Película,"Drama, Crimen, Suspenso",1997,5.7,119,Disney+,Inglés,México,Martin Scorsese,PG-13,1798891,11.2,3.4,-7.8,Matthew McConaughey,Walt Disney Studios,1997-08-01,Un viaje fantástico a través de dimensiones inexploradas del universo.
41018,El Heatmap del Destino Vol. 2,Serie,"C.Ficción, Romance, Terror",2021,7.8,40,"HBO Max, Netflix",Alemán,Francia,Guillermo del Toro,G,1186990,178.9,72.3,-106.6,Matthew McConaughey,Paramount Pictures,2021-07-13,Un drama conmovedor que explora los límites de la mente y la tecnología.
41019,El Resplandor del Monitor Vol. 4,Serie,"Crimen, Romance",1971,6.4,57,"Netflix, Disney+",Inglés,Reino Unido,Guillermo del Toro,PG,456164,204.4,676.7,472.3,Christian Bale,Marvel Studios,1971-09-07,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41020,Batman: El programador de la noche Vol. 2,Serie,"Suspenso, Drama",2002,6.5,62,"Prime Video, HBO Max",Francés,Canadá,Christopher Nolan,R,2406251,241.3,306.1,64.8,Brad Pitt,Netflix Studio,2002-08-11,Un misterio escalofriante que desvela secretos familiares ocultos.
41021,SQL: El Imperio Contraataca (1989),Serie,"Romance, Terror",1989,9.7,31,Apple TV+,Francés,Francia,Steven Spielberg,R,570350,109.1,448.2,339.1,Robert Downey Jr.,Columbia Pictures,1989-08-16,Un viaje fantástico a través de dimensiones inexploradas del universo.
41022,Inception: Loop Infinito Vol. 2,Serie,"Crimen, Acción",1979,9.7,61,"HBO Max, Apple TV+",Alemán,Japón,Steven Spielberg,R,1513455,237.0,1042.2,805.2,Christian Bale,A24,1979-07-05,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41023,El laberinto del silicio Vol. 1,Película,"C.Ficción, Crimen",1991,6.8,129,Disney+,Portugués,Japón,Guillermo del Toro,G,1500907,244.6,137.5,-107.1,Matthew McConaughey,Universal Pictures,1991-05-28,Un misterio escalofriante que desvela secretos familiares ocultos.
41024,Avatar: Renderizado Vol. 4,Película,"Drama, Documental, Terror",1977,4.7,197,Apple TV+,Alemán,Reino Unido,Martin Scorsese,PG-13,2236073,182.0,566.8,384.8,Meryl Streep,Warner Bros.,1977-04-02,Un misterio escalofriante que desvela secretos familiares ocultos.
41025,Cazadores de código Vol. 4,Película,Romance,2007,8.6,169,"Netflix, Apple TV+",Portugués,Japón,Steven Spielberg,PG-13,1819194,238.8,791.6,552.8,Joaquin Phoenix,Paramount Pictures,2007-05-07,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41026,Stranger Code (2007),Serie,"Aventura, Documental, Crimen",2007,7.0,37,"Prime Video, Netflix",Alemán,Japón,Christopher Nolan,G,2095409,65.1,130.3,65.2,Leonardo DiCaprio,Walt Disney Studios,2007-02-10,Un viaje fantástico a través de dimensiones inexploradas del universo.
41027,Parque de Servidores Vol. 2,Serie,"Suspenso, Acción, Documental",1987,7.9,36,Apple TV+,Alemán,Francia,Hayao Miyazaki,PG-13,2389855,47.6,147.0,99.4,Tom Hanks,Paramount Pictures,1987-08-10,Un misterio escalofriante que desvela secretos familiares ocultos.
41028,Cazadores de código Vol. 1,Serie,Drama,1996,9.7,42,"Disney+, HBO Max",Portugués,USA,Quentin Tarantino,NC-17,2054191,177.6,408.9,231.3,Matthew McConaughey,Warner Bros.,1996-08-13,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41029,SQL: El Imperio Contraataca Vol. 2,Serie,"Fantasía, C.Ficción",2019,4.8,62,"HBO Max, Netflix",Inglés,Francia,Christopher Nolan,PG,2005288,242.5,682.5,440.0,Tom Hanks,Marvel Studios,2019-07-24,Un viaje fantástico a través de dimensiones inexploradas del universo.
41030,Forrest Git Vol. 1,Película,"Drama, Documental",1973,6.6,209,"HBO Max, Netflix",Portugués,Reino Unido,Steven Spielberg,PG-13,156589,66.2,147.4,81.2,Robert Downey Jr.,Paramount Pictures,1973-05-08,Un viaje fantástico a través de dimensiones inexploradas del universo.
41031,La teoría de las bases de datos (2000),Serie,Drama,2000,8.2,51,HBO Max,Español,México,Denis Villeneuve,PG-13,452943,132.4,428.1,295.7,Cillian Murphy,Walt Disney Studios,2000-11-24,Un misterio escalofriante que desvela secretos familiares ocultos.
41032,Los señores del algoritmo Vol. 4,Película,Documental,1999,5.4,116,"Disney+, HBO Max",Francés,Francia,Martin Scorsese,R,621637,125.1,486.2,361.1,Cillian Murphy,A24,1999-03-28,Un análisis profundo del impacto social e histórico de las grandes eras.
41033,Inception: Loop Infinito (1980),Película,"C.Ficción, Suspenso",1980,8.1,101,"Disney+, HBO Max",Inglés,Canadá,Guillermo del Toro,NC-17,230107,144.1,286.4,142.3,Leonardo DiCaprio,A24,1980-10-20,Un misterio escalofriante que desvela secretos familiares ocultos.
41034,Código de honor Vol. 3,Serie,"Drama, Aventura, Terror",1999,9.7,41,Apple TV+,Español,España,Guillermo del Toro,R,967651,20.8,57.2,36.4,Leonardo DiCaprio,Columbia Pictures,1999-09-16,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41035,FastAPI veloz (1986),Serie,Documental,1986,6.3,55,"Disney+, Netflix",Inglés,México,Guillermo del Toro,R,1381481,237.8,109.0,-128.8,Joaquin Phoenix,A24,1986-07-20,Un análisis profundo del impacto social e histórico de las grandes eras.
41036,Avatar: Renderizado (1970),Película,Comedia,1970,6.8,155,Prime Video,Alemán,USA,Steven Spielberg,PG,1974536,120.5,242.8,122.3,Christian Bale,A24,1970-11-06,Un drama conmovedor que explora los límites de la mente y la tecnología.
41037,Django desencadenado Vol. 3,Película,"Aventura, Comedia, Crimen",2016,7.2,148,"Prime Video, HBO Max",Inglés,España,Guillermo del Toro,R,528628,181.2,451.3,270.1,Meryl Streep,Paramount Pictures,2016-09-10,Un misterio escalofriante que desvela secretos familiares ocultos.
41038,La vida en la nube (2012),Serie,Documental,2012,6.7,41,HBO Max,Francés,Japón,Denis Villeneuve,PG-13,615655,148.6,541.8,393.2,Natalie Portman,Warner Bros.,2012-04-18,Un drama conmovedor que explora los límites de la mente y la tecnología.
41039,El Heatmap del Destino (2008),Película,Terror,2008,6.2,209,"Prime Video, Apple TV+",Inglés,Japón,Martin Scorsese,PG,702648,236.4,538.5,302.1,Matthew McConaughey,Netflix Studio,2008-01-09,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41040,La vida en la nube Vol. 2,Película,"Comedia, Suspenso, Terror",1994,8.5,91,Netflix,Alemán,Canadá,James Cameron,PG,1303299,37.8,161.8,124.0,Scarlett Johansson,Warner Bros.,1994-12-05,Un análisis profundo del impacto social e histórico de las grandes eras.
41041,La casa de código Vol. 4,Serie,"Fantasía, Aventura, Documental",1976,7.0,21,"Disney+, HBO Max",Inglés,Reino Unido,Martin Scorsese,G,2085467,80.2,137.0,56.8,Matthew McConaughey,A24,1976-05-20,Un misterio escalofriante que desvela secretos familiares ocultos.
41042,El laberinto del silicio (1983),Serie,"C.Ficción, Aventura, Romance",1983,5.4,23,"Netflix, Apple TV+",Inglés,España,Martin Scorsese,PG,1803096,58.3,243.4,185.1,Joaquin Phoenix,Marvel Studios,1983-06-17,Un misterio escalofriante que desvela secretos familiares ocultos.
41043,La casa de código Vol. 3,Serie,Crimen,1982,9.2,33,Netflix,Alemán,España,Steven Spielberg,PG,44457,160.7,286.0,125.3,Scarlett Johansson,Columbia Pictures,1982-07-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41044,Gladiador del backend Vol. 2,Película,Suspenso,1975,7.6,132,"Disney+, HBO Max",Alemán,México,Martin Scorsese,NC-17,1770545,81.7,141.6,59.9,Meryl Streep,Paramount Pictures,1975-11-09,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41045,Inception: Loop Infinito Vol. 2,Película,"Romance, Fantasía",2025,8.8,169,Prime Video,Alemán,España,Christopher Nolan,R,2464088,61.8,141.7,79.9,Matthew McConaughey,Universal Pictures,2025-09-21,Un viaje fantástico a través de dimensiones inexploradas del universo.
41046,La terminal de los secretos Vol. 4,Película,"Suspenso, Acción",2007,8.9,148,"Netflix, HBO Max",Portugués,España,James Cameron,PG-13,1893409,164.7,103.7,-61.0,Scarlett Johansson,Paramount Pictures,2007-08-18,Un análisis profundo del impacto social e histórico de las grandes eras.
41047,Código de honor (2011),Película,"Terror, Suspenso, Drama",2011,5.3,87,"Disney+, HBO Max",Francés,España,Guillermo del Toro,PG-13,2359925,12.7,9.6,-3.1,Robert Downey Jr.,Universal Pictures,2011-02-18,Un viaje fantástico a través de dimensiones inexploradas del universo.
41048,Interstellar II Vol. 3,Película,"Fantasía, C.Ficción",1992,8.8,202,Prime Video,Alemán,USA,Martin Scorsese,R,1468148,187.6,218.2,30.6,Brad Pitt,A24,1992-09-19,Un misterio escalofriante que desvela secretos familiares ocultos.
41049,El Resplandor del Monitor (1989),Serie,Romance,1989,5.2,47,Prime Video,Francés,Japón,Steven Spielberg,PG,992474,192.4,93.3,-99.1,Leonardo DiCaprio,Paramount Pictures,1989-03-04,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41050,Juego de Servidores Vol. 4,Película,"Comedia, Suspenso",2019,5.2,207,"Netflix, Disney+",Español,Japón,Guillermo del Toro,PG,601542,80.9,216.7,135.8,Joaquin Phoenix,Netflix Studio,2019-07-08,Un misterio escalofriante que desvela secretos familiares ocultos.
41051,El Club de la Computación (2000),Serie,"Crimen, Romance",2000,7.0,60,"Apple TV+, Netflix",Francés,USA,Martin Scorsese,R,1660325,44.0,39.2,-4.8,Christian Bale,Universal Pictures,2000-04-20,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41052,El Club de la Computación Vol. 4,Película,Crimen,1994,8.0,102,Disney+,Portugués,México,Christopher Nolan,PG-13,1721483,70.3,221.7,151.4,Cillian Murphy,Paramount Pictures,1994-04-17,Un misterio escalofriante que desvela secretos familiares ocultos.
41053,La milla de código (2023),Película,"Acción, Aventura, Crimen",2023,9.1,140,Netflix,Inglés,España,Christopher Nolan,R,2043635,68.3,248.6,180.3,Robert Downey Jr.,Netflix Studio,2023-10-18,Un análisis profundo del impacto social e histórico de las grandes eras.
41054,La milla de código (1992),Película,"C.Ficción, Suspenso, Terror",1992,5.6,161,Apple TV+,Alemán,Japón,Martin Scorsese,R,1005347,53.9,72.9,19.0,Christian Bale,Universal Pictures,1992-01-18,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41055,Django desencadenado (1988),Serie,"Acción, Documental, Terror",1988,6.1,36,Apple TV+,Francés,USA,James Cameron,PG-13,386958,91.7,217.8,126.1,Christian Bale,Universal Pictures,1988-09-14,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41056,Matrix Reloaded in Python Vol. 2,Serie,"Aventura, Acción, Comedia",2004,9.1,30,"Prime Video, Apple TV+",Francés,Japón,Martin Scorsese,PG-13,219064,223.4,275.0,51.6,Morgan Freeman,A24,2004-02-21,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41057,Código de honor (2013),Película,"Romance, Fantasía, C.Ficción",2013,5.7,199,Prime Video,Inglés,México,James Cameron,G,398652,128.2,505.5,377.3,Natalie Portman,Columbia Pictures,2013-06-10,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41058,La lista de bugs (1999),Película,Suspenso,1999,4.7,150,Apple TV+,Inglés,España,James Cameron,G,633230,239.2,1007.3,768.1,Christian Bale,Paramount Pictures,1999-10-09,Un misterio escalofriante que desvela secretos familiares ocultos.
41059,Matrix Reloaded in Python (1978),Película,"Drama, Suspenso, Acción",1978,7.0,112,"Prime Video, HBO Max",Francés,España,Christopher Nolan,PG,1522346,19.2,43.4,24.2,Scarlett Johansson,Paramount Pictures,1978-05-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41060,La teoría de las bases de datos Vol. 3,Película,"Terror, Suspenso, Drama",1999,6.8,162,Disney+,Inglés,Francia,Quentin Tarantino,PG-13,2377776,99.4,261.0,161.6,Tom Hanks,Netflix Studio,1999-11-10,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41061,El precio del servidor Vol. 1,Serie,Romance,1973,9.2,34,Disney+,Español,USA,Steven Spielberg,NC-17,621149,56.0,172.7,116.7,Joaquin Phoenix,Warner Bros.,1973-10-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41062,Búsqueda Binaria Vol. 3,Película,"Suspenso, Crimen, Fantasía",2010,6.0,205,Prime Video,Español,Francia,Quentin Tarantino,NC-17,781428,238.5,985.2,746.7,Cillian Murphy,Marvel Studios,2010-09-16,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41063,Titanic: Bug Hundido Vol. 4,Película,Aventura,2022,7.3,201,HBO Max,Inglés,México,Quentin Tarantino,PG-13,2380561,162.5,465.5,303.0,Christian Bale,Walt Disney Studios,2022-02-21,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41064,Stranger Code (1999),Serie,Aventura,1999,6.5,40,Apple TV+,Alemán,Reino Unido,Denis Villeneuve,PG,22724,224.8,741.3,516.5,Christian Bale,Columbia Pictures,1999-07-05,Un misterio escalofriante que desvela secretos familiares ocultos.
41065,Cazadores de código Vol. 4,Película,"Acción, Fantasía, Suspenso",1998,7.9,146,Disney+,Alemán,Japón,Christopher Nolan,G,924328,109.0,289.1,180.1,Brad Pitt,Columbia Pictures,1998-05-12,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41066,La lista de bugs Vol. 3,Película,Terror,2015,3.7,182,Disney+,Portugués,USA,Martin Scorsese,NC-17,1307837,221.3,396.3,175.0,Leonardo DiCaprio,Netflix Studio,2015-11-14,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41067,Forrest Git (1990),Serie,"Drama, Comedia, Romance",1990,8.8,55,Netflix,Alemán,España,Steven Spielberg,R,737605,139.7,117.2,-22.5,Natalie Portman,Netflix Studio,1990-05-11,Un viaje fantástico a través de dimensiones inexploradas del universo.
41068,El Club de la Computación (1973),Serie,Romance,1973,4.6,53,Disney+,Español,México,Denis Villeneuve,G,440179,180.1,575.9,395.8,Joaquin Phoenix,Universal Pictures,1973-01-08,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41069,La teoría de las bases de datos (2008),Serie,"Romance, C.Ficción, Documental",2008,4.9,47,"HBO Max, Prime Video",Alemán,Canadá,Christopher Nolan,PG-13,1484078,163.3,598.8,435.5,Joaquin Phoenix,Paramount Pictures,2008-02-27,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
41070,El Padrino del código Vol. 4,Película,Fantasía,1995,9.5,131,"HBO Max, Apple TV+",Portugués,Japón,Denis Villeneuve,G,885829,77.3,187.3,110.0,Morgan Freeman,Marvel Studios,1995-03-17,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41071,La terminal de los secretos Vol. 2,Serie,"Comedia, C.Ficción",1997,6.3,61,HBO Max,Inglés,Reino Unido,Martin Scorsese,R,1881232,224.9,816.1,591.2,Morgan Freeman,A24,1997-11-06,Un misterio escalofriante que desvela secretos familiares ocultos.
41072,La milla de código (1981),Serie,"Documental, Acción, C.Ficción",1981,5.7,43,"Disney+, Prime Video",Inglés,Francia,Guillermo del Toro,PG-13,1489802,106.4,53.6,-52.8,Joaquin Phoenix,Walt Disney Studios,1981-08-15,Una comedia hilarante sobre las complejidades de la vida cotidiana.
41073,Interstellar II (2024),Película,Comedia,2024,9.6,199,Disney+,Inglés,España,Christopher Nolan,PG-13,1254443,134.9,319.1,184.2,Natalie Portman,Paramount Pictures,2024-12-05,Un misterio escalofriante que desvela secretos familiares ocultos.
41074,Matrix Reloaded in Python Vol. 2,Película,"Documental, Romance, Terror",2003,4.0,97,"Prime Video, Netflix",Alemán,España,Denis Villeneuve,R,993519,53.3,166.2,112.9,Leonardo DiCaprio,Marvel Studios,2003-02-16,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41075,Interstellar II (2014),Película,"Romance, Drama",2014,4.8,104,Apple TV+,Portugués,Francia,Martin Scorsese,PG-13,919253,159.9,468.2,308.3,Leonardo DiCaprio,Marvel Studios,2014-11-10,Un análisis profundo del impacto social e histórico de las grandes eras.
41076,Búsqueda Binaria Vol. 4,Película,C.Ficción,2021,7.4,108,Netflix,Alemán,Japón,James Cameron,PG,1441497,220.0,356.3,136.3,Christian Bale,Paramount Pictures,2021-02-24,Un viaje fantástico a través de dimensiones inexploradas del universo.
41077,Gladiador del backend (2026),Serie,"Fantasía, Romance",2026,5.7,24,Netflix,Alemán,USA,Christopher Nolan,PG,214503,216.8,249.9,33.1,Matthew McConaughey,Warner Bros.,2026-09-11,Un viaje fantástico a través de dimensiones inexploradas del universo.
41078,Juego de Servidores Vol. 1,Película,"C.Ficción, Fantasía, Drama",1993,7.3,206,Netflix,Francés,Reino Unido,Martin Scorsese,PG-13,977665,157.9,508.4,350.5,Meryl Streep,Netflix Studio,1993-08-01,Un análisis profundo del impacto social e histórico de las grandes eras.
41079,Interstellar II Vol. 3,Serie,"Crimen, Acción, Terror",2025,4.6,33,Prime Video,Portugués,Reino Unido,Martin Scorsese,PG,1225077,53.8,135.4,81.6,Meryl Streep,Warner Bros.,2025-06-01,Un viaje fantástico a través de dimensiones inexploradas del universo.
41080,Titanic: Bug Hundido (2022),Serie,"Acción, Drama",2022,6.4,61,"Disney+, Prime Video",Español,México,Denis Villeneuve,R,542145,93.8,357.6,263.8,Matthew McConaughey,A24,2022-08-21,Un misterio escalofriante que desvela secretos familiares ocultos.
41081,El Heatmap del Destino Vol. 2,Película,Comedia,2014,6.3,144,Disney+,Portugués,Reino Unido,Guillermo del Toro,G,441075,204.8,545.7,340.9,Leonardo DiCaprio,Warner Bros.,2014-02-22,Un misterio escalofriante que desvela secretos familiares ocultos.
41082,Titanic: Bug Hundido Vol. 1,Película,"C.Ficción, Aventura, Drama",2022,4.5,120,Disney+,Francés,España,Hayao Miyazaki,G,49769,28.6,77.5,48.9,Scarlett Johansson,A24,2022-02-07,Un análisis profundo del impacto social e histórico de las grandes eras.
41083,En busca del commit perdido Vol. 4,Película,"Romance, C.Ficción, Drama",1979,8.4,89,HBO Max,Portugués,España,Christopher Nolan,PG-13,14007,9.8,31.7,21.9,Scarlett Johansson,Walt Disney Studios,1979-02-26,Un drama conmovedor que explora los límites de la mente y la tecnología.
41084,Forrest Git Vol. 1,Película,Terror,1998,7.6,178,Prime Video,Inglés,Francia,Christopher Nolan,NC-17,1016674,220.8,102.5,-118.3,Cillian Murphy,A24,1998-08-10,Un misterio escalofriante que desvela secretos familiares ocultos.
41085,El Heatmap del Destino Vol. 1,Serie,"Drama, Aventura",1979,5.6,58,Disney+,Inglés,Japón,Denis Villeneuve,PG,211560,242.2,679.0,436.8,Matthew McConaughey,Marvel Studios,1979-05-15,Un misterio escalofriante que desvela secretos familiares ocultos.
41086,La terminal de los secretos Vol. 4,Película,"C.Ficción, Comedia",1979,8.7,163,"HBO Max, Apple TV+",Portugués,USA,James Cameron,PG-13,405710,241.1,974.5,733.4,Natalie Portman,Universal Pictures,1979-04-12,Un drama conmovedor que explora los límites de la mente y la tecnología.
41087,El Resplandor del Monitor Vol. 4,Serie,Comedia,2017,8.5,62,Disney+,Alemán,USA,Denis Villeneuve,G,1713254,59.8,80.4,20.6,Scarlett Johansson,Paramount Pictures,2017-12-18,Un viaje fantástico a través de dimensiones inexploradas del universo.
41088,En busca del commit perdido (2009),Película,"Comedia, C.Ficción",2009,8.7,176,HBO Max,Portugués,México,Quentin Tarantino,NC-17,2130426,95.3,106.3,11.0,Leonardo DiCaprio,Netflix Studio,2009-01-09,Un misterio escalofriante que desvela secretos familiares ocultos.
41089,La casa de código (1976),Película,Comedia,1976,7.5,186,Disney+,Portugués,México,Martin Scorsese,G,244842,8.8,24.1,15.3,Scarlett Johansson,A24,1976-02-07,Un drama conmovedor que explora los límites de la mente y la tecnología.
41090,Interstellar II (1978),Película,"Comedia, Drama, Crimen",1978,6.2,106,"Prime Video, Apple TV+",Portugués,México,Hayao Miyazaki,R,1989839,68.1,115.7,47.6,Leonardo DiCaprio,Paramount Pictures,1978-11-26,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
41091,En busca del commit perdido Vol. 1,Serie,Fantasía,2011,7.6,43,"Apple TV+, HBO Max",Español,Reino Unido,Martin Scorsese,R,868696,49.5,214.8,165.3,Robert Downey Jr.,Netflix Studio,2011-12-21,Un análisis profundo del impacto social e histórico de las grandes eras.
41092,Forrest Git (1975),Serie,Romance,1975,5.0,20,Netflix,Francés,USA,Denis Villeneuve,PG-13,1369072,199.8,408.4,208.6,Leonardo DiCaprio,Warner Bros.,1975-03-08,Un análisis profundo del impacto social e histórico de las grandes eras.
41093,Código de honor (1971),Película,"Fantasía, Aventura, Romance",1971,6.6,142,Prime Video,Inglés,México,Hayao Miyazaki,PG,703761,79.0,51.0,-28.0,Matthew McConaughey,Columbia Pictures,1971-06-21,Un misterio escalofriante que desvela secretos familiares ocultos.
